INFO - 2017-03-28 21:46:16 - reggie@jobsly.net logged in
INFO - 2017-03-28 22:40:36 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 22:40:55 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 22:42:01 - reggie@jobsly.net deactivate 116
INFO - 2017-03-28 22:44:08 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 22:45:05 - reggie@jobsly.net activate 119
INFO - 2017-03-28 22:53:02 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 22:53:20 - reggie@jobsly.net activate 119
INFO - 2017-03-28 22:57:31 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 22:59:48 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 22:59:52 - reggie@jobsly.net activate 119
INFO - 2017-03-28 22:59:54 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 23:33:37 - reggie@jobsly.net deactivate 86
INFO - 2017-03-28 23:33:38 - reggie@jobsly.net activate 86
INFO - 2017-03-28 23:33:40 - reggie@jobsly.net deactivate 86
INFO - 2017-03-28 23:33:41 - reggie@jobsly.net activate 86
INFO - 2017-03-28 23:34:58 - reggie@jobsly.net deactivate 86
INFO - 2017-03-28 23:34:59 - reggie@jobsly.net activate 86
INFO - 2017-03-28 23:42:40 - reggie@jobsly.net activate 119
INFO - 2017-03-28 23:50:09 - reggie@jobsly.net deactivate 119
INFO - 2017-03-28 23:50:20 - reggie@jobsly.net activate 119
